Пройденные курсы			
The Climate Crisis: Addressing 5 Key Areas for Change (Климатический кризис: решение 5 ключевых областей для изменений)	Young African Leaders Initiative (Инициатива молодых африканских лидеров)	Электронный	Сертификат
OSOCC Awareness Course	UN OCHA                          (Управление ООН по координации гуманитарных вопросов)	Электронный	Сертификат
EV Vehicle Safety: An Awareness Level Training (Безопасность электромобиля: обучение)	National Volunteer Fire Council (Национальный добровольный пожарный совет)	Электронный	Сертификат
Energy: first grid position in the race to a greener future (Энергетика: первое место в энергосистеме в гонке за экологичное будущее)	European commission (Европейская Комиссия)	Электронный	Сертификат
Волонтерство в ЮНИСЕФ	ЮНИСЕФ Беларусь	Электронный	Сертификат
1.Becoming a UN Volunteer           2.Your Benefits and Allowances        3.Serving as a UN Volunteer         4.Know your Obligations and Rights                                                       5.Managing your Transition  6.Final. Conditions of Service for UN Volunteers                                     7. Volunteer and sustainable development goals                    8.Cultural Awareness and Working in Multi-Cultural Environments	United Nations Volunteers (Программа добровольцев ООН)	Электронный	Сертификат                     Сертификат                       Сертификат           Сертификат                Сертификат        Сертификат      Сертификат   Сертификат 
Diploma in Electrical Studies (Диплом в области электротехники)	Alison - Empower Yourself	Потверждение	Ссылка
Распределенная выработка электроэнергии	Schneider Electric University	Электронный	Сертификат
Energy Efficiency and Management in Electrical Systems (Энергоэффективность и управление в электрических системах)	Asian Productivity Organization 	Электронный	Сертификат
General Business Energy Efficiency                                    (Общая энергоэффективность бизнеса)	Sustainable Energy Authority of Ireland / SEAI Energy Academy	Электронный	Сертификат
Land in Focus – Dry Ecosystems                              (Земля в центре внимания – сухие экосистемы)	ESA / EO college             (Европейское космическое агентство)	Электронный	Сертификат
Anticipatory Governance: New ways of sense-making and navigating for uncertainty (Упреждающее управление: новые способы осмысления и навигации в условиях неопределенности)	United Nations Educational, Scientific and Cultural Organization (UNESCO) / Организация Объединенных Наций по вопросам образования, науки и культуры (ЮНЕСКО)	Электронный	Сертификат
The Human Security Approach: From principles to practice (Подход с точки зрения безопасности человека: от принципов к практике)	United Nations System Staff College: UNSSC                      (Колледж персонала системы Организации Объединенных Наций)	Электронный	Сертификат
Introduction to Conservation nature                               (Введение в сохранение природы)	National Geographic	Электронный	Сертификат
